Id_produit;Nom produit;Reference;Categorie principale ;Categorie;EAN;Supplier_reference;Fournisseur;Marque;Prix ;Quantite;VALEUR STOCK 
14503;MARSHALL - MS-2R;MS-2R;Amplificateurs Guitares Electriques;Combos Guitares Electriques;5030460000000;MMA MS2R;Algam - Gaffarel;Marshall;28,90;4;115,60
12874;ERNIE BALL - 2004 - EARTHWOOD BRONZE LIGHT 11-52 - Cordes de Guitare Acoustique - Jeu de 6;CEB 2004;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2004;Algam - Gaffarel;Ernie Ball;5,25;22;115,50
13047;ERNIE BALL - 2734 - SUPER SLINKY COBALT 45-100 - Cordes de Basse Électrique - Jeu de 4;CEB 2734;Cordes Guitares & Basses;Cordes Basses Electriques;749699000000;CEB 2734;Algam - Gaffarel;Ernie Ball;23,10;5;115,50
35344;ELIXIR - 11002 NANOWEB XL 10-47;11002;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;733132000000;CEL 11002;Algam - Camac;Elixir;12,75;9;114,75
19428;ZT AMPLIFIERS - LBJ1 - LUNCHBOX JUNIOR AMP;LBJ1;Amplificateurs Guitares Electriques;Combos Guitares Electriques;91037228291;ZTLBJ1-EU;Hal Leonard;ZT Amplifiers;114,71;1;114,71
26659;ROTOSOUND - SOLO BASS 55 SM55;SOLO BASS 55 SM55;Cordes Guitares & Basses;Cordes Basses Electriques;686194000000;ROTSM55;Filling Distribution;Rotosound;46,90;3;140,70
26163;EMINENCE - GA-SC64;GA-SC64;Amplificateurs Guitares & Basses;Haut-parleurs;876358000000;SEM GA-SC64;Algam - Audia;Eminence;110,50;1;110,50
42238;MARK STRINGS - GROOVE 040-100 NICKEL PLATED STEEL - Jeu 4 cordes basse;GROOVE 040-100 NICKEL PLATED S;Cordes Guitares & Basses;Cordes Basses Electriques;8033830000000;;Mogar;Mark Strings;20,73;5;103,65
26158;EMINENCE - GA10-SC64;GA10-SC64;Amplificateurs Guitares & Basses;Haut-parleurs;876358000000;SEM GA10-SC64;Algam - Audia;Eminence;98,15;1;98,15
12910;ERNIE BALL - 2146 - EARTHWOOD PHOSPHOR MEDIUM LIGHT 12-54 - Cordes de Guitare Acoustique - Jeu;CEB 2146;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2146;Algam - Gaffarel;Ernie Ball;6,00;16;96,00
22531;ORANGE - PPC108 BLACK;PPC108 BLACK;Amplificateurs Guitares Electriques;Baffles Guitares Electriques;5060300000000;ORA-PPC-108BK;HTD - High Tech Distribution;Orange;90,83;1;90,83
26599;PROVIDENCE - V206 SLIM PATCH 30CM S/L;V206 SLIM PATCH 30CM S/L;Accessoires Guitares & Basses;Câbles de Patch;4539590000000;PVV206-30SL;Filling Distribution;Providence;32,90;3;98,70
26046;EMINENCE - PSD2002-SA;PSD2002-SA;Amplificateurs Guitares & Basses;Haut-parleurs;876358000000;EMIPSD2002S;MSC Distribution - Major Audio;Eminence;86,66;1;86,66
53495;FLIGHT - TINY6W - Ampli ukulélé portable Tiny6 2x3 W - Noyer;TINY6W;Amplificateurs Guitares & Basses;Amplificateurs Guitares Acoustiques;;ALMTINY6W;Hal Leonard;Flight;42,01;2;84,02
31341;IBANEZ - B1000PGPW;B1000PGPW;Accessoires Guitares & Basses;Médiators;4515110000000;B1000PGPW;Hoshino;Ibanez;5,25;16;84,00
42265;MARK STRINGS - LONGEVO 045-105 NICKEL PLATED STEEL - Jeu 4 cordes basse;LONGEVO 045-105 NICKEL PLATED S;Cordes Guitares & Basses;Cordes Basses Electriques;8033830000000;4S70425868001;Mogar;Mark Strings;27,90;3;83,70
29897;ERNIE BALL - 2222 HYBRID SLINKY;2222 HYBRID SLINKY;Cordes Guitares & Basses;Cordes Guitares Electriques;749699000000;CEB 2222;Algam - Gaffarel;Ernie Ball;4,85;17;82,45
